path_in_A,path_in_B
errormessagewindow\tex1_16x16_82810437dffcad48_0.png,ondemand_texture_replace\MarioGalaxy\779823301775060718.png


LayoutData\AirMeter\tex1_20x20_ed2238c05a9aa815_0.png,MarioGalaxy\b850fb6012e1d9dc.png
LayoutData\AirMeter\tex1_32x32_8bb55ba11f91b464_0.png,MarioGalaxy_Sub\88b2b41298279fa4.png
LayoutData\AirMeter\tex1_40x40_ea339446a4f6cc77_5.png,MarioGalaxy\d6c542de506fc65d.png
LayoutData\AirMeter\tex1_64x8_f511e7e66a675d74_0.png,MarioGalaxy_Sub\b525072de688907c.png
LayoutData\AllStarList\tex1_16x16_b5c5c57463fe5191_0.png,MarioGalaxy_Sub\43f1285351827599.png
LayoutData\AllStarList\tex1_16x16_ed140ed90623a5df_0.png,MarioGalaxy_Sub\47f209ed48cbcb3f.png
LayoutData\AllStarList\tex1_24x38_6691804b2a4aa461_0.png,MarioGalaxy_Sub\085efc29a28dd059.png
LayoutData\AllStarList\tex1_32x32_a9a6622e413a50e1_2.png,MarioGalaxy_Sub\772bba3157da8d47.png
LayoutData\AllStarList\tex1_32x32_d671cc8e9b109813_2.png,MarioGalaxy_Sub\39ecd47c6854d662.png
LayoutData\AllStarList\tex1_32x32_ff2e218848753ba6_0.png,MarioGalaxy_Sub\04810b7f4e620c53.png
LayoutData\BackButton\tex1_48x48_bebf8fd2621bef97_0.png,MarioGalaxy_Sub\a64f93e261bd93a3.png
LayoutData\BallGuidanceReplace\tex1_32x32_ad75e8cf7057f3ae_0.png,ondemand_texture_replace\MarioGalaxy\2704072998892488342.png
LayoutData\BallGuidanceReplace\tex1_64x64_2fe7ad14d14b7f8b_0.png,ondemand_texture_replace\MarioGalaxy\910095960909529881.png
LayoutData\BallGuidanceReplace\tex1_64x64_91fbc86f91cb4e77_0.png,ondemand_texture_replace\MarioGalaxy\1968656680977833683.png
LayoutData\BallGuidanceReplace\tex1_64x64_b1fa8c8bf6a874ec_0.png,ondemand_texture_replace\MarioGalaxy\18154529556000442013.png
LayoutData\BatteryInfo\tex1_24x24_ab5fd7ed418577c0_0.png,MarioGalaxy_Sub\5c9ff22c6ff564d1.png
LayoutData\BatteryInfo\tex1_32x32_b11e9631b677d674_0.png,MarioGalaxy\d711c52939d2d61e.png
LayoutData\BlueChipCounter\tex1_32x48_7a31c37aa58ee927_5.png,MarioGalaxy\617218bbc2c666ef.png
LayoutData\BlueChipCounter\tex1_96x96_e0fffbac6caebf08_0.png,MarioGalaxy\51c18830cb9581bd.png
LayoutData\BrosButton\tex1_48x48_2e4411ff2712aaf7_5.png,MarioGalaxy\7fdf7d1886fd567f.png
LayoutData\BrosButton\tex1_48x48_ae20d82663fe4ffd_5.png,MarioGalaxy\41cc88369f683942.png
LayoutData\BrosButton\tex1_60x49_a85f4faa76c67c02_1.png,MarioGalaxy\1d7d4944c3f6a002.png
LayoutData\CameraInfo\tex1_32x32_99603839aa071dda_2.png,MarioGalaxy\6d2a609637252174.png
LayoutData\CameraInfo\tex1_48x38_6de82f77fc64c958_2.png,MarioGalaxy\46cdb4a82d3907a8.png
LayoutData\CameraInfo\tex1_48x48_53243d99bc3323c6_2.png,MarioGalaxy\d78bd02430715250.png
LayoutData\CoinCounter\tex1_32x40_15281bba2339fdc7_5.png,MarioGalaxy\ec0fd87595afc193.png
LayoutData\CometScreenFilter\tex1_128x128_c883e87f2f8a7467_1.png,MarioGalaxy\84e3ea056c84ff08.png
LayoutData\CommandStream\tex1_16x64_d2085692785b2982_1.png,MarioGalaxy\3a83058a1d5e221e.png
LayoutData\DPDPointer\tex1_16x16_b9131a4f9c78de0c_0.png,MarioGalaxy\a09f4059cfcadb8b.png
LayoutData\DPDPointer\tex1_16x32_0edc5fde71286a9c_0.png,MarioGalaxy\e4f3cc8d5d4b307f.png
LayoutData\DPDPointer\tex1_16x32_fc4bf5695db0bcdc_2.png,MarioGalaxy\72a1e7ea19013946.png
LayoutData\DPDPointer\tex1_32x32_50ee4a362be7ba68_2.png,MarioGalaxy\7fd7912196355a11.png
LayoutData\DPDPointer\tex1_32x32_9cd5b945551421f1_2.png,MarioGalaxy\0241535d7852fdfb.png
LayoutData\DPDPointer\tex1_64x64_116d9e10ce04353c_2.png,MarioGalaxy\5764b3b6b4f1affb.png
LayoutData\DPDPointer\tex1_64x64_319268eba911e247_0.png,MarioGalaxy\6822d7ddb2fcfe60.png
LayoutData\DPDPointer\tex1_64x64_4369ef09766b45d8_0.png,MarioGalaxy\006b6c10e3e88cff.png
LayoutData\DPDPointer\tex1_64x64_472d6d7e1153b0f2_2.png,MarioGalaxy\48d45661487f21b2.png
LayoutData\DPDPointer\tex1_64x64_5ea99933708ee06f_2.png,MarioGalaxy\6bb93353f34d61d2.png
LayoutData\DPDPointer\tex1_64x64_63a5d52997101b55_0.png,MarioGalaxy\c1f7b516aa65d46d.png
LayoutData\DPDPointer\tex1_64x64_d314e57e3c0b62ad_1.png,MarioGalaxy\02a942dc5b80b99c.png
LayoutData\DPDPointer\tex1_8x32_0cc9167bf16d1966_0.png,MarioGalaxy\63aedd2cb3d61dbc.png
