path_in_A,path_in_B
LayoutData\AirMeter\tex1_20x20_ed2238c05a9aa815_0.png,MarioGalaxy\b850fb6012e1d9dc.png
LayoutData\AirMeter\tex1_32x32_8bb55ba11f91b464_0.png,MarioGalaxy_Sub\88b2b41298279fa4.png
LayoutData\AirMeter\tex1_40x40_ea339446a4f6cc77_5.png,MarioGalaxy\d6c542de506fc65d.png
LayoutData\AllStarList\tex1_32x32_84b234b8cc519ed0_2.png,MarioGalaxy_Sub\7e30d4cc3ebdf1da.png
LayoutData\AllStarList\tex1_40x72_bdfda3ddc79297c0_2.png,MarioGalaxy_Sub\d768914c8c91fb2b.png
LayoutData\BackButton\tex1_32x32_a9a6622e413a50e1_2.png,MarioGalaxy_Sub\772bba3157da8d47.png
LayoutData\BackButton\tex1_48x48_bebf8fd2621bef97_0.png,MarioGalaxy_Sub\a64f93e261bd93a3.png
LayoutData\BallGuidance\tex1_32x32_ad75e8cf7057f3ae_0.png,ondemand_texture_replace\MarioGalaxy\2704072998892488342.png
LayoutData\BallGuidance\tex1_64x64_2fe7ad14d14b7f8b_0.png,ondemand_texture_replace\MarioGalaxy\910095960909529881.png
LayoutData\BallGuidance\tex1_64x64_b1fa8c8bf6a874ec_0.png,ondemand_texture_replace\MarioGalaxy\18154529556000442013.png
LayoutData\BallGuidance\tex1_64x64_d08c909b0b709a40_0.png,MarioGalaxy\1b5212d22a621ed3.png
LayoutData\BatteryInfo\tex1_32x32_b11e9631b677d674_0.png,MarioGalaxy\d711c52939d2d61e.png
LayoutData\BatteryInfo\tex1_48x28_22f982064e003b45_0.png,MarioGalaxy\e4036f980bd54cb9.png
LayoutData\CameraInfo\tex1_32x32_99603839aa071dda_2.png,MarioGalaxy\6d2a609637252174.png
LayoutData\CameraInfo\tex1_48x38_6de82f77fc64c958_2.png,MarioGalaxy\46cdb4a82d3907a8.png
LayoutData\CameraInfo\tex1_48x48_53243d99bc3323c6_2.png,MarioGalaxy\8af7591fa601ea62.png
LayoutData\CoinCounter\tex1_32x40_15281bba2339fdc7_5.png,MarioGalaxy\ec0fd87595afc193.png
LayoutData\CoinCounter\tex1_48x40_baf44aca50849145_5.png,MarioGalaxy\d089fd659bf4ba53.png
LayoutData\CometMedalCounter\tex1_40x40_36084a6b8b8995b9_5.png,MarioGalaxy\05c0fe9a1535332c.png
LayoutData\CometMedalCounter\tex1_40x40_75bcda7a2a06996b_2.png,MarioGalaxy\2ab55c2fe240feaf.png
LayoutData\CometScreenFilter\tex1_128x128_c883e87f2f8a7467_1.png,MarioGalaxy\84e3ea056c84ff08.png
LayoutData\DPDPointer\tex1_16x16_b9131a4f9c78de0c_0.png,MarioGalaxy\a09f4059cfcadb8b.png
LayoutData\DPDPointer\tex1_16x32_328a68d3cf419729_2.png,MarioGalaxy\b30f450ac745b7b4.png
LayoutData\DPDPointer\tex1_16x32_6e530b52b35e38b8_0.png,MarioGalaxy\01bc856933926446.png
LayoutData\DPDPointer\tex1_16x32_d9778f48dd8f42f1_2.png,MarioGalaxy\f431e7033ef92dc6.png
LayoutData\DPDPointer\tex1_24x24_de7c72fc07bc15b1_5.png,MarioGalaxy\3cda57ee9eaa366c.png
LayoutData\DPDPointer\tex1_32x32_50ee4a362be7ba68_2.png,MarioGalaxy\7fd7912196355a11.png
LayoutData\DPDPointer\tex1_32x32_9cd5b945551421f1_2.png,MarioGalaxy\0241535d7852fdfb.png
LayoutData\DPDPointer\tex1_64x64_116d9e10ce04353c_2.png,MarioGalaxy\5764b3b6b4f1affb.png
LayoutData\DPDPointer\tex1_64x64_319268eba911e247_0.png,MarioGalaxy\6822d7ddb2fcfe60.png
LayoutData\DPDPointer\tex1_64x64_4369ef09766b45d8_0.png,MarioGalaxy\006b6c10e3e88cff.png
LayoutData\DPDPointer\tex1_64x64_472d6d7e1153b0f2_2.png,MarioGalaxy\48d45661487f21b2.png
LayoutData\DPDPointer\tex1_64x64_5ea99933708ee06f_2.png,MarioGalaxy\6bb93353f34d61d2.png
LayoutData\DPDPointer\tex1_64x64_63a5d52997101b55_0.png,MarioGalaxy\c1f7b516aa65d46d.png
LayoutData\DPDPointer\tex1_64x64_d314e57e3c0b62ad_1.png,MarioGalaxy\02a942dc5b80b99c.png
LayoutData\DPDPointer\tex1_8x32_0cc9167bf16d1966_0.png,MarioGalaxy\63aedd2cb3d61dbc.png
LayoutData\DPDPointerNumber\tex1_16x16_b5c5c57463fe5191_0.png,MarioGalaxy\391c6cb3c9fbf19d.png
LayoutData\FileInfo\tex1_24x80_b5b70faa83199ffd_2.png,MarioGalaxy\cad99b8b1b106c51.png
